"pretest_id","scenario","question","adjective","response_in_order","response_reverse"
"pre_068","Lisa hilft einem Kollegen, der in einer schwierigen Situation steckt.","Wie hilfsbereit war Lisa?","hilfsbereit","5. sehr hilfsbereit","3. neutral"
"pre_069","Oliver hört geduldig zu, wenn sein Freund von seinen Problemen erzählt.","Wie geduldig war Oliver?","geduldig","3. neutral","3. neutral"
"pre_070","Clara gibt einem Kollegen Ratschläge, die ihm bei seiner Arbeit helfen.","Wie hilfreich war Clara?","hilfreich","4. eher hilfreich","2. eher hilfreich"
"pre_071","Felix unterstützt seine Schwester bei der Suche nach einem neuen Job.","Wie unterstützend war Felix?","unterstützend","3. neutral","3. neutral"
"pre_072","Sophie hilft einem Freund, der in finanziellen Schwierigkeiten steckt.","Wie großzügig war Sophie?","großzügig","4. eher großzügig","3. neutral"
"pre_073","Lukas hört aufmerksam zu, wenn sein Kollege von seinen Ideen erzählt.","Wie aufmerksam war Lukas?","aufmerksam","3. neutral","2. eher aufmerksam"
"pre_074","Mia gibt einem Freund Ratschläge, die ihm in einer Krise helfen.","Wie unterstützend war Mia?","unterstützend","3. neutral","3. neutral"
"pre_075","Tim hilft einem Kollegen, der gesundheitliche Probleme hat.","Wie fürsorglich war Tim?","fürsorglich","5. sehr fürsorglich","3. neutral"
"pre_076","Anna respektiert die Grenzen ihrer Freunde und teilt keine persönlichen Informationen.","Wie respektvoll war Anna?","respektvoll","3. neutral","3. neutral"
"pre_077","Max unterstützt seine Kollegin bei einem schwierigen Projekt.","Wie hilfsbereit war Max?","hilfsbereit","5. sehr hilfsbereit","3. neutral"
"pre_078","Julia organisiert ein Team-Event, um den Zusammenhalt zu stärken.","Wie teamfördernd war Julia?","teamfördernd","4. eher teamfördernd","3. neutral"
"pre_079","Ben gibt einem Freund Ratschläge, die ihm in einer Krise helfen.","Wie unterstützend war Ben?","unterstützend","3. neutral","3. neutral"
"pre_080","Lisa hört aufmerksam zu, wenn ihr Freund von seinen Problemen erzählt.","Wie aufmerksam war Lisa?","aufmerksam","4. eher aufmerksam","2. eher aufmerksam"
"pre_081","Oliver hilft einem Nachbarn, der gesundheitliche Probleme hat.","Wie fürsorglich war Oliver?","fürsorglich","5. sehr fürsorglich","3. neutral"
"pre_082","Clara respektiert die Privatsphäre ihrer Freunde und teilt keine persönlichen Informationen.","Wie respektvoll war Clara?","respektvoll","3. neutral","3. neutral"
"pre_083","Felix hilft einem Kollegen, der Schwierigkeiten hat, eine Aufgabe zu bewältigen.","Wie unterstützend war Felix?","unterstützend","4. eher unterstützend","3. neutral"
"pre_084","Sophie nimmt sich Zeit, um einem neuen Teammitglied bei der Einarbeitung zu helfen.","Wie geduldig war Sophie?","geduldig","3. neutral","3. neutral"
"pre_085","Lukas gibt konstruktives Feedback zu den Ideen eines Kollegen.","Wie konstruktiv war Lukas' Feedback?","konstruktiv","4. eher konstruktiv","3. neutral"
"pre_086","Mia unterstützt ihre Freundin emotional in einer schwierigen Zeit.","Wie unterstützend war Mia?","unterstützend","3. neutral","3. neutral"
"pre_087","Tim hilft einem Freund, der in einer finanziellen Notlage ist.","Wie großzügig war Tim?","großzügig","4. eher großzügig","3. neutral"
"pre_088","Anna hört geduldig zu, wenn ihr Kind von der Schule erzählt.","Wie geduldig war Anna?","geduldig","3. neutral","3. neutral"
"pre_089","Max gibt einem Kollegen Tipps, um seine Arbeit effizienter zu gestalten.","Wie hilfreich war Max?","hilfreich","4. eher hilfreich","3. neutral"
"pre_090","Julia organisiert ein Treffen, um Konflikte im Team zu lösen.","Wie konfliktlösend war Julia?","konfliktlösend","3. neutral","3. neutral"
"pre_091","Ben unterstützt seine Schwester bei der Vorbereitung auf eine Prüfung.","Wie unterstützend war Ben?","unterstützend","3. neutral","3. neutral"
"pre_092","Lisa hilft einem Freund, der gesundheitliche Probleme hat.","Wie fürsorglich war Lisa?","fürsorglich","5. sehr fürsorglich","3. neutral"
"pre_093","Oliver hört aufmerksam zu, wenn sein Freund von seinen Sorgen erzählt.","Wie aufmerksam war Oliver?","aufmerksam","4. eher aufmerksam","1. sehr aufmerksam"
"pre_094","Clara gibt einem Kollegen konstruktives Feedback zu seiner Präsentation.","Wie konstruktiv war Claras Feedback?","konstruktiv","4. eher konstruktiv","3. neutral"
"pre_095","Felix unterstützt seine Freundin bei der Planung ihrer Hochzeit.","Wie unterstützend war Felix?","unterstützend","4. eher unterstützend","3. neutral"
"pre_096","Sophie hilft einem Kollegen, der in einer schwierigen Situation steckt.","Wie hilfsbereit war Sophie?","hilfsbereit","3. neutral","3. neutral"
"pre_097","Lukas hört geduldig zu, wenn sein Freund von seinen Problemen erzählt.","Wie geduldig war Lukas?","geduldig","3. neutral","3. neutral"
"pre_098","Mia gibt einem Kollegen Ratschläge, die ihm bei seiner Arbeit helfen.","Wie hilfreich war Mia?","hilfreich","4. eher hilfreich","2. eher hilfreich"
"pre_099","Tim unterstützt seine Schwester bei der Suche nach einem neuen Job.","Wie unterstützend war Tim?","unterstützend","3. neutral","3. neutral"
"pre_100","Anna hilft einem Freund, der in finanziellen Schwierigkeiten steckt.","Wie großzügig war Anna?","großzügig","4. eher großzügig","3. neutral"
