"case_id","persona_id","response"
"C003","P020","2. eher nicht intolerant"
"C003","P021","1. gar nicht intolerant"
"C003","P022","2. eher nicht intolerant"
"C003","P023","3. neutral"
"C003","P024","1. gar nicht intolerant"
"C003","P025","2. eher nicht intolerant"
"C003","P026","2. eher nicht intolerant"
"C003","P027","2. eher nicht intolerant"
"C003","P028","2. eher nicht intolerant"
"C003","P029","2. eher nicht intolerant"
"C003","P030","1. gar nicht intolerant"
"C003","P031","2. eher nicht intolerant"
"C003","P032","2. eher nicht intolerant"
"C003","P033","2. eher nicht intolerant"
"C003","P034","2. eher nicht intolerant"
"C003","P035","2. eher nicht intolerant"
"C004","P001","4. eher unehrlich"
"C004","P002","4. eher unehrlich"
"C004","P003","4. eher unehrlich"
"C004","P004","4. eher unehrlich"
"C004","P005","4. eher unehrlich"
"C004","P006","4. eher unehrlich"
"C004","P007","4. eher unehrlich"
"C004","P008","4. eher unehrlich"
"C004","P009","4. eher unehrlich"
"C004","P010","4. eher unehrlich"
"C004","P011","4. eher unehrlich"
"C004","P012","4. eher unehrlich"
"C004","P013","4. eher unehrlich"
"C004","P014","4. eher unehrlich"
"C004","P015","4. eher unehrlich"
"C004","P016","4. eher unehrlich"
"C004","P017","4. eher unehrlich"
"C004","P018","4. eher unehrlich"
"C004","P019","4. eher unehrlich"
"C004","P020","4. eher unehrlich"
"C004","P021","4. eher unehrlich"
"C004","P022","4. eher unehrlich"
"C004","P023","4. eher unehrlich"
"C004","P024","4. eher unehrlich"
"C004","P025","4. eher unehrlich"
"C004","P026","4. eher unehrlich"
"C004","P027","4. eher unehrlich"
"C004","P028","4. eher unehrlich"
"C004","P029","4. eher unehrlich"
"C004","P030","4. eher unehrlich"
"C004","P031","4. eher unehrlich"
"C004","P032","4. eher unehrlich"
"C004","P033","4. eher unehrlich"
"C004","P034","4. eher unehrlich"
"C004","P035","4. eher unehrlich"
"C005","P001","3. neutral"
"C005","P002","3. neutral"
"C005","P003","3. neutral"
"C005","P004","3. neutral"
"C005","P005","3. neutral"
"C005","P006","3. neutral"
"C005","P007","3. neutral"
"C005","P008","3. neutral"
"C005","P009","3. neutral"
"C005","P010","3. neutral"
"C005","P011","3. neutral"
"C005","P012","3. neutral"
"C005","P013","3. neutral"
"C005","P014","3. neutral"
"C005","P015","3. neutral"
"C005","P016","3. neutral"
"C005","P017","3. neutral"
"C005","P018","3. neutral"
"C005","P019","3. neutral"
"C005","P020","3. neutral"
"C005","P021","3. neutral"
"C005","P022","3. neutral"
"C005","P023","3. neutral"
"C005","P024","3. neutral"
"C005","P025","3. neutral"
"C005","P026","3. neutral"
"C005","P027","3. neutral"
"C005","P028","3. neutral"
"C005","P029","3. neutral"
"C005","P030","3. neutral"
"C005","P031","3. neutral"
"C005","P032","3. neutral"
"C005","P033","3. neutral"
"C005","P034","3. neutral"
"C005","P035","3. neutral"
"C006","P001","4. eher psychosomatisch"
"C006","P002","4. eher psychosomatisch"
"C006","P003","3. neutral"
"C006","P004","3. neutral"
"C006","P005","4. eher psychosomatisch"
"C006","P006","4. eher psychosomatisch"
"C006","P007","3. neutral"
"C006","P008","3. neutral"
"C006","P009","4. eher psychosomatisch"
"C006","P010","3. neutral"
"C006","P011","3. neutral"
"C006","P012","3. neutral"
"C006","P013","4. eher psychosomatisch"
"C006","P014","3. neutral"
"C006","P015","3. neutral"
"C006","P016","3. neutral"
"C006","P017","4. eher psychosomatisch"
"C006","P018","3. neutral"
"C006","P019","3. neutral"
"C006","P020","3. neutral"
"C006","P021","3. neutral"
"C006","P022","3. neutral"
"C006","P023","4. eher psychosomatisch"
"C006","P024","4. eher psychosomatisch"
"C006","P025","3. neutral"
"C006","P026","3. neutral"
"C006","P027","4. eher psychosomatisch"
"C006","P028","4. eher psychosomatisch"
"C006","P029","3. neutral"
"C006","P030","3. neutral"
"C006","P031","4. eher psychosomatisch"
"C006","P032","3. neutral"
"C006","P033","4. eher psychosomatisch"
"C006","P034","4. eher psychosomatisch"
"C006","P035","4. eher psychosomatisch"
"C007","P001","1. gar nicht verdächtig"
"C007","P002","1. gar nicht verdächtig"
"C007","P003","1. gar nicht verdächtig"
"C007","P004","1. gar nicht verdächtig"
"C007","P005","1. gar nicht verdächtig"
"C007","P006","3. neutral"
"C007","P007","1. gar nicht verdächtig"
"C007","P008","3. neutral"
"C007","P009","3. neutral"
"C007","P010","3. neutral"
"C007","P011","3. neutral"
"C007","P012","1. gar nicht verdächtig"
"C007","P013","3. neutral"
"C007","P014","1. gar nicht verdächtig"
"C007","P015","3. neutral"
"C007","P016","1. gar nicht verdächtig"
"C007","P017","3. neutral"
"C007","P018","1. gar nicht verdächtig"
"C007","P019","3. neutral"
"C007","P020","3. neutral"
"C007","P021","1. gar nicht verdächtig"
"C007","P022","1. gar nicht verdächtig"
"C007","P023","3. neutral"
"C007","P024","3. neutral"
"C007","P025","3. neutral"
"C007","P026","1. gar nicht verdächtig"
"C007","P027","3. neutral"
"C007","P028","3. neutral"
"C007","P029","3. neutral"
"C007","P030","1. gar nicht verdächtig"
"C007","P031","1. gar nicht verdächtig"
"C007","P032","3. neutral"
"C007","P033","1. gar nicht verdächtig"
"C007","P034","3. neutral"
"C007","P035","1. gar nicht verdächtig"
"C008","P001","3. neutral"
"C008","P002","3. neutral"
"C008","P003","3. neutral"
"C008","P004","3. neutral"
"C008","P005","3. neutral"
"C008","P006","3. neutral"
"C008","P007","3. neutral"
"C008","P008","3. neutral"
"C008","P009","3. neutral"
"C008","P010","3. neutral"
"C008","P011","3. neutral"
"C008","P012","3. neutral"
"C008","P013","3. neutral"
"C008","P014","3. neutral"
"C008","P015","3. neutral"
"C008","P016","3. neutral"
"C008","P017","3. neutral"
"C008","P018","3. neutral"
"C008","P019","3. neutral"
"C008","P020","3. neutral"
"C008","P021","3. neutral"
"C008","P022","3. neutral"
"C008","P023","3. neutral"
"C008","P024","3. neutral"
"C008","P025","3. neutral"
"C008","P026","3. neutral"
"C008","P027","3. neutral"
"C008","P028","3. neutral"
"C008","P029","3. neutral"
"C008","P030","3. neutral"
"C008","P031","3. neutral"
"C008","P032","3. neutral"
"C008","P033","3. neutral"
"C008","P034","3. neutral"
"C008","P035","3. neutral"
"C009","P001","3. neutral"
"C009","P002","3. neutral"
"C009","P003","3. neutral"
"C009","P004","3. neutral"
"C009","P005","3. neutral"
"C009","P006","3. neutral"
"C009","P007","3. neutral"
"C009","P008","3. neutral"
"C009","P009","3. neutral"
"C009","P010","3. neutral"
"C009","P011","3. neutral"
"C009","P012","3. neutral"
"C009","P013","3. neutral"
"C009","P014","3. neutral"
"C009","P015","3. neutral"
"C009","P016","3. neutral"
"C009","P017","3. neutral"
"C009","P018","3. neutral"
"C009","P019","3. neutral"
"C009","P020","3. neutral"
"C009","P021","3. neutral"
"C009","P022","3. neutral"
"C009","P023","3. neutral"
"C009","P024","3. neutral"
"C009","P025","3. neutral"
"C009","P026","3. neutral"
"C009","P027","3. neutral"
"C009","P028","3. neutral"
"C009","P029","3. neutral"
"C009","P030","3. neutral"
"C009","P031","3. neutral"
"C009","P032","3. neutral"
"C009","P033","3. neutral"
"C009","P034","3. neutral"
"C009","P035","3. neutral"
"C010","P001","5. sehr unterqualifiziert"
"C010","P002","4. eher unterqualifiziert"
"C010","P003","4. eher unterqualifiziert"
"C010","P004","4. eher unterqualifiziert"
"C010","P005","4. eher unterqualifiziert"
"C010","P006","5. sehr unterqualifiziert"
"C010","P007","4. eher unterqualifiziert"
"C010","P008","4. eher unterqualifiziert"
"C010","P009","4. eher unterqualifiziert"
"C010","P010","4. eher unterqualifiziert"
"C010","P011","5. sehr unterqualifiziert"
"C010","P012","4. eher unterqualifiziert"
"C010","P013","4. eher unterqualifiziert"
"C010","P014","4. eher unterqualifiziert"
"C010","P015","5. sehr unterqualifiziert"
"C010","P016","4. eher unterqualifiziert"
"C010","P017","4. eher unterqualifiziert"
"C010","P018","5. sehr unterqualifiziert"
"C010","P019","4. eher unterqualifiziert"
"C010","P020","5. sehr unterqualifiziert"
"C010","P021","4. eher unterqualifiziert"
"C010","P022","4. eher unterqualifiziert"
"C010","P023","4. eher unterqualifiziert"
"C010","P024","4. eher unterqualifiziert"
"C010","P025","4. eher unterqualifiziert"
"C010","P026","4. eher unterqualifiziert"
"C010","P027","4. eher unterqualifiziert"
"C010","P028","4. eher unterqualifiziert"
"C010","P029","4. eher unterqualifiziert"
"C010","P030","5. sehr unterqualifiziert"
"C010","P031","4. eher unterqualifiziert"
"C010","P032","5. sehr unterqualifiziert"
"C010","P033","5. sehr unterqualifiziert"
"C010","P034","4. eher unterqualifiziert"
"C010","P035","4. eher unterqualifiziert"
